id,date,symbol,score,signal_strength,entry,sl,sl_pct,t1,t2,rr_t1,rr_t2,sector,layers_passed,layer1,layer2,layer3,layer4,layer5,bulk_buyers,pcr,call_oi_chg,put_oi_chg,status,current_price,exit_price,pnl_pct,pnl_pts,exit_date,exit_reason,t1_hit,days_held,progress_pct,dist_sl_pct,dist_t2_pct,last_updated,reasons
1,2026-05-25,ASIANPAINT,7.3,STRONG,2668.6,2562.0,3.99,2881.8,3041.7,2.0,3.5,,,,,,,,,,,,EXPIRED,2731.7,2731.7,2.36,63.1,2026-06-10,Max hold (15d),False,16,16.9,6.21,11.35,2026-06-10 09:37 IST,EMA9 > EMA21 — short-term uptrend | 3 consecutive higher closes | Price in upper half of 20-day range (95%) | Close above last week high (2665.7) | RSI 74.3 — slightly elevated but trending | MACD bullish crossover / line above signal
2,2026-05-25,EICHERMOT,7.1,STRONG,7351.0,7130.47,3.0,7792.06,8122.85,2.0,3.5,,,,,,,,,,,,SL HIT,7100.5,7100.5,-3.41,-250.5,2026-06-01,SL Hit,False,7,-32.5,-0.42,14.4,2026-06-01 18:27 IST,3 consecutive higher closes | Price in upper half of 20-day range (83%) | Close above last week high (7275.5) | RSI 52.2 — ideal swing zone (50–68) | Volume 1.64× avg — institutional interest | MACD bullish crossover / line above signal
3,2026-05-25,INDUSINDBK,6.9,GOOD,926.05,898.27,3.0,981.61,1023.28,2.0,3.5,,,,,,,,,,,,SL HIT,898.0,898.0,-3.03,-28.05,2026-06-04,SL Hit,False,10,-28.8,-0.03,13.95,2026-06-04 14:23 IST,EMA9 > EMA21 — short-term uptrend | 3 consecutive higher closes | Price in upper half of 20-day range (64%) | Close above last week high (922.3) | RSI 54.4 — ideal swing zone (50–68) | Price near EMA21 (899.4) — decent pullback
4,2026-05-25,SIEMENS,6.8,GOOD,3860.4,3744.59,3.0,4092.02,4265.73,2.0,3.5,,,,,,,,,,,,SL HIT,3667.5,3667.5,-5.0,-192.9,,,False,5,-47.6,-2.1,16.31,2026-05-25 19:06 IST,EMA9 > EMA21 — short-term uptrend | 3 consecutive higher closes | Price in upper half of 20-day range (85%) | Close above last week high (3724.5) | RSI 50.7 — ideal swing zone (50–68) | Narrow range / inside bar — coiling before move
5,2026-05-25,AXISBANK,6.7,GOOD,1302.6,1263.52,3.0,1380.76,1439.38,2.0,3.5,,,,,,,,,,,,SL HIT,1254.6,1254.6,-3.68,-48.0,2026-06-04,SL Hit,False,10,-35.1,-0.71,14.73,2026-06-04 09:50 IST,3 consecutive higher closes | Price in upper half of 20-day range (81%) | Close above last week high (1275.3) | RSI 63.1 — ideal swing zone (50–68) | MACD bullish crossover / line above signal | Price near EMA21 (1274.3) — decent pullback
6,2026-05-25,CIPLA,6.7,GOOD,1403.2,1392.0,0.8,1425.6,1442.4,2.0,3.5,,,,,,,,,,,,SL HIT,1390.3,1390.3,-0.92,-12.9,2026-06-01,SL Hit,False,7,-32.9,-0.12,3.75,2026-06-01 18:27 IST,EMA9 > EMA21 — short-term uptrend | Price in upper half of 20-day range (76%) | RSI 61.8 — ideal swing zone (50–68) | MACD bullish crossover / line above signal | Price near EMA21 (1360.9) — decent pullback | Narrow range / inside bar — coiling before move
7,2026-05-25,SUNPHARMA,6.5,GOOD,1846.2,1825.0,1.15,1888.6,1920.4,2.0,3.5,,,,,,,,,,,,SL HIT,1799.199951171875,1799.199951171875,-2.55,-47.0,,,False,5,-50.0,-1.43,6.74,2026-05-29 18:22 IST,EMA9 > EMA21 — short-term uptrend | Price in upper half of 20-day range (65%) | RSI 54.3 — ideal swing zone (50–68) | Price within 2% of EMA21 (1832.7) — ideal pullback entry | Narrow range / inside bar — coiling before move | Price near round number (1846)
8,2026-05-30,BHARATFORG,8.0,GOOD,1957.2,1908.27,2.5,2074.63,2152.92,2.4,4.0,Nifty Auto,4,2.0,2.0,2.0,2.0,0.0,,,,,SL HIT,1893.5,1893.5,-3.25,-63.7,2026-06-10,SL Hit,False,11,-32.5,-0.78,13.7,2026-06-10 09:37 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Volume breakout (1.8× avg) | OBV uptrend confirmed
9,2026-05-30,ZYDUSLIFE,8.0,GOOD,1077.7,1050.76,2.5,1142.36,1185.47,2.4,4.0,Nifty Pharma,4,2.0,2.0,2.0,2.0,0.0,,,,,EXPIRED,1098.7,1098.7,1.95,21.0,2026-06-15,Max hold (15d),False,16,19.5,4.36,7.9,2026-06-15 09:39 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Volume breakout (1.8× avg) | OBV uptrend confirmed
10,2026-05-30,LT,7.0,GOOD,4076.5,3974.59,2.5,4321.09,4484.15,2.4,4.0,Nifty Infra,4,2.0,2.0,2.0,1.0,0.0,,,,,SL HIT,3960.0,3960.0,-2.86,-116.5,2026-06-04,SL Hit,False,5,-28.6,-0.37,13.24,2026-06-04 09:50 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Volume breakout (1.8× avg) | OBV uptrend confirmed
11,2026-05-30,HINDALCO,7.0,GOOD,1126.7,1098.53,2.5,1194.3,1239.37,2.4,4.0,Nifty Metal,4,2.0,2.0,2.0,1.0,0.0,,,,,SL HIT,1092.6,1092.6,-3.03,-34.1,2026-06-07,SL Hit,False,8,-30.3,-0.54,13.43,2026-06-07 12:38 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Volume breakout (1.8× avg) | OBV uptrend confirmed
